picocom v3.1

port is        : /dev/ttyACM0
flowcontrol    : none
baudrate is    : 115200
parity is      : none
databits are   : 8
stopbits are   : 1
escape is      : C-a
local echo is  : no
noinit is      : no
noreset is     : no
hangup is      : no
nolock is      : no
send_cmd is    : sz -vv
receive_cmd is : rz -vv -E
imap is        : 
omap is        : 
emap is        : crcrlf,delbs,
logfile is     : none
initstring     : none
exit_after is  : not set
exit is        : no

Type [C-a] [C-h] to see available commands
Terminal ready
<Taking data v0.2>
Set point, initial error, Kp, Ki, Kd, steady state error, steady state value, overshoot, time rise, time settle
300.00, 300.00, 9.17, 1.20, 19.34, 0.00, 300.00, 1.24, 0.00 ,0.19
300.00, 300.00, 9.93, 1.42, 19.83, 0.00, 300.00, 2.30, 0.00 ,0.08
300.00, 277.22, 8.58, 1.05, 19.44, 0.26, 300.26, 0.93, 0.00 ,0.15
300.00, 230.67, 9.86, 1.37, 20.09, 0.02, 299.98, 2.96, 0.00 ,0.08
300.00, 206.15, 10.42, 1.47, 21.04, 0.08, 300.08, 1.00, 0.00 ,0.10
300.00, 184.24, 9.41, 1.24, 19.74, 0.48, 299.52, 1.59, 0.00 ,0.10
300.00, 163.46, 8.52, 1.04, 19.29, 0.51, 300.51, 1.36, 0.00 ,0.13
300.00, 143.35, 10.71, 1.52, 21.40, 0.21, 299.79, 1.42, 0.00 ,0.10
300.00, 124.80, 9.26, 1.18, 20.17, 0.06, 299.94, 1.05, 0.00 ,0.13
300.00, 104.45, 15.26, 2.49, 26.61, 0.17, 300.17, 1.35, 0.00 ,0.09
302.00, 302.00, 16.18, 2.65, 28.66, 0.23, 301.77, 7.16, 0.00 ,0.17
302.00, 302.00, 10.53, 1.41, 21.96, 0.30, 301.70, 1.90, 0.00 ,0.12
302.00, 279.94, 9.70, 1.33, 20.16, 0.37, 302.37, 2.14, 0.00 ,0.11
302.00, 234.51, 10.48, 1.49, 20.86, 0.20, 302.20, 1.47, 0.00 ,0.07
302.00, 205.47, 9.34, 1.33, 18.88, 0.05, 302.05, 0.98, 0.00 ,0.11
302.00, 185.87, 12.93, 1.84, 25.13, 0.01, 302.01, 8.84, 0.00 ,0.19
302.00, 163.72, 8.41, 1.03, 18.98, 0.11, 301.89, 1.23, 0.00 ,0.13
302.00, 144.25, 11.88, 1.79, 22.19, 0.24, 301.76, 1.44, 0.00 ,0.09
302.00, 126.03, 9.19, 1.24, 18.98, 0.08, 302.08, 1.17, 0.00 ,0.13
302.00, 102.99, 19.90, 3.44, 32.78, 0.44, 302.44, 1.46, 0.00 ,0.07
304.00, 304.00, 10.47, 1.51, 20.53, 0.30, 303.70, 1.40, 0.00 ,0.20
304.00, 304.00, 9.22, 1.18, 20.06, 0.79, 304.79, 1.00, 0.00 ,0.13
304.00, 272.64, 8.74, 1.09, 19.50, 0.03, 303.97, 1.51, 0.00 ,0.15
304.00, 240.59, 10.12, 1.47, 19.72, 0.45, 303.55, 1.25, 0.00 ,0.07
304.00, 209.69, 10.40, 1.50, 20.34, 0.46, 303.54, 6.26, 0.00 ,0.13
304.00, 187.37, 9.45, 1.35, 18.79, 0.16, 304.16, 1.30, 0.00 ,0.15
304.00, 170.62, 8.17, 1.01, 18.43, 0.19, 304.19, 1.00, 0.00 ,0.17
304.00, 143.79, 11.12, 1.62, 21.53, 0.09, 304.09, 1.67, 0.00 ,0.08
304.00, 123.92, 8.91, 1.16, 19.08, 0.07, 304.07, 1.31, 0.00 ,0.12
304.00, 107.08, 9.24, 1.20, 19.72, 0.39, 303.61, 1.27, 0.00 ,0.13
306.00, 306.00, 7.81, 0.95, 17.90, 0.65, 305.35, 1.29, 0.00 ,0.21
306.00, 306.00, 8.24, 1.01, 18.60, 0.44, 305.56, 1.92, 0.00 ,0.13
306.00, 268.39, 8.52, 1.03, 19.68, 0.24, 306.24, 1.32, 0.00 ,0.17
306.00, 231.70, 8.78, 1.07, 19.84, 0.02, 305.98, 1.50, 0.00 ,0.08
306.00, 208.76, 8.98, 1.10, 20.27, 0.15, 306.15, 1.16, 0.00 ,0.12
306.00, 188.10, 8.63, 1.08, 19.10, 0.09, 305.91, 1.39, 0.00 ,0.13
306.00, 166.09, 11.26, 1.69, 21.03, 0.10, 306.10, 1.25, 0.00 ,0.11
306.00, 146.39, 10.58, 1.45, 21.40, 0.19, 306.19, 1.18, 0.00 ,0.12
306.00, 126.41, 9.82, 1.40, 19.70, 0.12, 305.88, 1.22, 0.00 ,0.12
